"";"Platzierung";"Name";"Punkte85";"Land";"Gebutsdatum";"jahr";"wettkamp";"Zeit_100m_Huerden";"Hochsprung";"Kugelstoßen";"Zeit_200m_Lauf";"Weitsprung";"Speerwurf";"Zeit_800m_Lauf_Minute";"Zeit_800m_Lauf_Sekunden";"Quelle"
"1";1;"Glynis Nunn             ";6387;"Austr.";1960-12-04;1984;"Olympische Spiele";13,02;1,8;12,82;24,06;6,66;35,58;7800;130,57;"sports-reference.com"
"2";2;"Jackie Joyner-Kersee    ";6363;"USA";1962-03-03;1984;"Olympische Spiele";13,63;1,8;14,39;24,05;6,11;44,52;7980;133,03;"sports-reference.com"
"3";3;"Sabine Everts           ";6388;"BRD";1961-03-04;1984;"Olympische Spiele";13,54;1,89;12,49;24,05;6,71;32,62;7740;129,05;"sports-reference.com"
"4";4;"Cindy Greiner           ";6249;"USA";1957-02-15;1984;"Olympische Spiele";13,71;1,83;13,36;24,4;6,15;40,86;7860;131,75;"sports-reference.com"
"5";5;"Judy Livermore-Simpson  ";6264;"GB";1960-11-14;1984;"Olympische Spiele";13,07;1,86;13,86;24,95;6,33;33,64;7980;133,01;"sports-reference.com"
"6";6;"Sabine Braun            ";6195;"BRD";1965-06-19;1984;"Olympische Spiele";13,61;1,8;12,09;24,22;6,1;44,14;7920;132,48;"sports-reference.com"
"7";7;"Tineke Hidding          ";6085;"Niederla";1959-07-28;1984;"Olympische Spiele";13,7;1,74;13,48;24,12;6,35;33,94;7920;132,84;"sports-reference.com"
"8";8;"Kim Hagger              ";6103;"GB";1961-12-02;1984;"Olympische Spiele";13,39;1,86;12,29;24,72;6,37;35,42;8280;138,44;"sports-reference.com"
"9";9;"Birgit Dressel          ";6050;"BRD";1960-04-10;1984;"Olympische Spiele";14,05;1,86;12,72;25,59;6,15;42,62;8160;136,68;"sports-reference.com"
"10";10;"Corinne Schneider       ";5989;"Schweiz";1962-07-28;1984;"Olympische Spiele";14,12;1,86;12,26;25,33;5,72;46,6;8100;135,89;"sports-reference.com"
"11";1;"Jackie Joyner-Kersee    ";7291;"USA";1962-03-03;1988;"Olympische Spiele";12,69;1,86;15,8;22,56;7,27;45,66;7680;128,51;"sports-reference.com"
"12";2;"Sabine John             ";6897;"DDR";1957-10-16;1988;"Olympische Spiele";12,85;1,8;16,23;23,65;6,71;42,56;7560;126,14;"sports-reference.com"
"13";3;"Anke Behmer             ";6858;"DDR";1961-06-05;1988;"Olympische Spiele";13,2;1,83;14,2;23,1;6,68;44,54;7440;124,2;"sports-reference.com"
"14";4;"Nataliya Shubenkova     ";6540;"UdSSR";1957-09-25;1988;"Olympische Spiele";13,51;1,74;14,76;23,93;6,32;47,46;7620;127,9;"sports-reference.com"
"15";5;"Remigija Sablovskait?-N ";6456;"UdSSR";1967-06-02;1988;"Olympische Spiele";13,61;1,8;15,23;23,92;6,25;42,78;7920;132,24;"sports-reference.com"
"16";6;"Ines Schulz             ";6411;"DDR";1965-07-10;1988;"Olympische Spiele";13,75;1,83;13,5;24,65;6,33;42,82;7500;125,79;"sports-reference.com"
"17";7;"Jane Flemming           ";6351;"Austr.";1965-04-14;1988;"Olympische Spiele";13,38;1,8;12,88;23,59;6,37;40,28;7920;132,54;"sports-reference.com"
"18";8;"Cindy Greiner           ";6297;"USA";1957-02-15;1988;"Olympische Spiele";13,55;1,8;14,13;24,48;6,47;38;7980;133,65;"sports-reference.com"
"19";9;"Zuzana Lajbnerová       ";6252;"Czech Pe";1963-05-20;1988;"Olympische Spiele";13,63;1,83;14,28;24,86;6,11;43,3;8160;136,05;"sports-reference.com"
"20";10;"Svetlana Buraga         ";6232;"UdSSR";1965-09-04;1988;"Olympische Spiele";13,25;1,77;12,62;23,59;6,28;39,06;8040;134,74;"sports-reference.com"
"21";1;"Jackie Joyner-Kersee    ";7044;"USA";1962-03-03;1992;"Olympische Spiele";12,85;1,91;14,13;23,12;7,1;44,98;7860;131,78;"sports-reference.com"
"22";2;"Irina Belova            ";6845;NA;1968-02-17;1992;"Olympische Spiele";13,25;1,88;13,77;23,34;6,82;41,9;7500;125,08;"sports-reference.com"
"23";3;"Sabine Braun            ";6649;"GER";1965-06-19;1992;"Olympische Spiele";13,25;1,94;14,23;24,27;6,02;51,12;8040;134,35;"sports-reference.com"
"24";4;"Liliana N?stase         ";6619;"ROM";1962-08-01;1992;"Olympische Spiele";12,86;1,82;14,34;23,7;6,49;41,3;7860;131,22;"sports-reference.com"
